Link,Company,Title,Exp,Edu
https://www.jobkorea.co.kr/Recruit/GI_Read/41138134?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜카카오,카카오 부문별 어시스턴트 모집,경력무관,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/41173633?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜포스코케미칼,2023년 상반기 포스코케미칼 생산기술직(현장근무) 신입사원(채용형 인턴) 채용/직업훈련생 선발,신입·경력,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/40875544?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜케이텍,"프로그램 개발자 모집(Machine Vision, AI(Python), C, C#, C++)",신입·경력5년↑,초대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41192184?Oem_Code=C1&logpath=1&stext=러시아&listno=,대림비앤코㈜,[대림바스] 부문별 신입 및 경력사원 채용,신입·경력,고졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41213146?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜하나금융티아이,[하나금융TI] 금융IT 경력사원 모집,경력,대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/40891129?Oem_Code=C1&logpath=1&stext=러시아&listno=,루먼랩㈜,"[루먼랩 주식회사] 백엔드(Python, NodeJS, NestJS) 개발자 채용",경력,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/40960309?Oem_Code=C1&logpath=1&stext=러시아&listno=,시프트원㈜,"[Cloud/A.I./Datalake] B/E (Python, Go, Java) 개발자 채용",경력3년↑,대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/40991968?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜엠아이티능력개발원,[국비전액무료] IT 취업 파이썬/인공지능/빅데이터 교육훈련생 모집,경력무관,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/41263369?Oem_Code=C1&logpath=1&stext=러시아&listno=,한국과학기술연구원,2023년 3월 연수직(Post-Doc./인턴연구원) 공개채용,신입·경력,대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41257590?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜트랜스코스모스,[TCK] 당사 고객상담 DATA 활용 분석 및 기획 담당자 (여의도) oy7R,경력,학력무관
